# bx, by, relaxed z-spacing, energy
# 
0.000000000000000000e+00,0.000000000000000000e+00,2.261219999999999897e-01,-3.691772240000000238e+01
7.099992899999999496e-01,4.099182567480000317e-01,2.220600000000000074e-01,-3.691791829999999663e+01
1.420000710000000055e+00,8.198377432520000951e-01,2.214659999999999962e-01,-3.691792991999999884e+01
7.099992899999999496e-01,-4.099182567480000317e-01,2.213930000000000065e-01,-3.691795228000000151e+01
1.419998579999999899e+00,-1.967983709505460934e-17,2.195489999999999942e-01,-3.691797015000000215e+01
2.129999999999999893e+00,4.099194865040000080e-01,2.237949999999999939e-01,-3.691788054999999957e+01
1.420000710000000055e+00,-8.198377432520000951e-01,2.239269999999999872e-01,-3.691789083999999832e+01
2.129999999999999893e+00,-4.099194865040000635e-01,2.238749999999999907e-01,-3.691787807000000043e+01
2.840001420000000110e+00,-3.583131413620321768e-17,2.152300000000000046e-01,-3.691800204999999835e+01
